PlotID,XPLOT,YPLOT
191,459032.4631000003,5355316.5799
198,458606.3881000001,5354270.112600001
358,426289.1185999997,5321209.703299999
424,425130.6752000004,5316629.4033
242,475518.6325000003,5347982.9561
264,432425.36039999966,5342107.2776999995
211,408659.6331000002,5337373.5657
188,449998.8537999997,5350887.945900001
201,452340.27979999967,5366487.5836
365,477711.0937999999,5346387.996099999
