plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z
424,46911,Sb,284.6,6.67,2.7,2.99,0,0,9.3
424,46912,Sb,281.1,6.58,2.18,2.42,0,0,9
424,46913,Bw,276.7,7.43,1.91,1.87,0,0,8.3
424,46914,Bw,278.3,7.59,1.78,2.01,0,0,8.4
424,46915,Sb,270,7.95,2.06,1.74,0,0,6.2
424,46916,Sb,302.7,10.17,2.74,1.99,0,0,9.4
424,46917,Sb,269,10.48,2.44,2.5,0,0,7.5
424,46918,Sb,327.2,1.41,2.7,2.59,0,0,9.5
424,46919,Sb,311.8,4.02,2.47,2.22,0,0,8.4
424,46920,Sb,359.9,8.02,1.5,1.46,309,2.6,6.5
424,46921,Bw,352.4,8.81,1.94,2.22,0,0,8.3
424,46922,Bw,347.9,9.24,3.99,2.06,0,0,8.4
424,46923,Bw,340.8,8.9,3.35,3.01,0,0,8.8
424,46924,Sb,345.1,9.39,2.09,1.97,0,0,6.8
424,46925,Sb,327.4,10.16,2.4,2.45,0,0,9.1
424,46926,Sb,326.8,10.92,1.55,0.97,0,0,8.1
424,46927,Sb,331.1,11.27,2.2,1.92,0,0,8.8
424,46928,Sb,333,11.26,2.03,2.52,0,0,8.3
424,46929,Bf,359.8,10.49,2.05,2.16,0,0,8
188,48237,Sb,11.4,4.3,1.94,1.51,0,0,8.1
188,48240,Sb,10.8,5.5,2.26,1.99,0,0,7.9
188,48241,Sb,30.1,5.4,1.98,1.67,0,0,7.8
188,48248,Sb,48.1,8.4,2.24,2.21,0,0,7
188,48250,Pj,46.2,9.5,5.48,5.33,0,0,12.5
188,48253,Sb,35.1,9.6,2.91,2.35,0,0,9.2
188,48254,Sb,33.6,9.5,2.87,2.77,0,0,9.8
188,48262,Pj,21.6,9,6.57,6.47,0,0,15.5
188,48269,Sb,4.3,8,1.93,1.51,0,0,7.7
188,48335,Sb,2.9,8.8,2.05,1.84,0,0,8.2
188,48340,Sb,67.7,0.8,2.88,2.69,0,0,10
188,48342,Sb,60.8,2.5,1.73,1.58,0,0,9.2
188,48346,Sb,60.9,5.3,1.92,1.53,0,0,8.7
188,48348,Sb,53.3,5.5,1.82,1.45,0,0,7.9
188,48350,Sb,55.4,6,1.64,1.89,0,0,9
188,48352,Sb,67.1,6.1,2.05,1.78,0,0,10.3
188,48354,Sb,66.8,6.5,2.5,1.72,0,0,10.1
188,48355,Pj,59.6,7.2,1.82,1.28,0,0,9.7
188,48356,Sb,63,7.1,1.96,1.44,0,0,8.8
188,48357,Sb,60,7.5,2.22,2,0,0,8.5
188,48364,Sb,75.1,9.3,1.84,1.4,0,0,8.5
188,48365,Sb,74.2,9.4,2.33,1.4,0,0,9.7
188,48372,Sb,91.5,9.6,1.89,1.6,0,0,8.8
188,48373,Sb,92.8,9.4,2.35,2.23,0,0,9
188,48420,Sb,94.4,9.8,2.08,1.18,0,0,9.3
188,48422,Sb,116.3,3.6,2.38,2.37,0,0,10
188,48424,Sb,112.9,5.1,2.2,2.27,0,0,10.4
188,48425,Sb,127.5,6.3,2.89,2.5,0,0,11.1
188,48426,Sb,125.5,7.1,2.36,1.62,0,0,9.7
188,48427,Sb,124.2,8,2.84,2.79,0,0,11.4
